Account_ID,Account_Name,Parent_Account_ID,Parent_Account_Name,Account_Owner_ID,Account_Owner_Name,SDR_Owner_ID,SDR_Owner_Name,Billing_City,Billing_State,Industry,Sub_Industry,NAICS_Code,Account_Score,Revenue_Range,Employee_Count
ACC000001,Quantum Systems,,,USR004,James Wilson,SDR038,SDR Jordan,Columbus,OH,Education,Higher Education,612535,32.06,<$10M,74
ACC000002,Titan Systems,,,USR009,Lauren Davis,,,New York,NY,Real Estate,Commercial,533615,26.14,$50M-$100M,674
ACC000003,Vertex Technologies,,,USR004,James Wilson,SDR039,SDR Riley,Dallas,TX,Retail,Department Stores,448527,39.99,$10M-$50M,293
ACC000004,Zenith Ventures,,,USR003,Emily Thompson,SDR050,SDR Morgan,San Jose,CA,Healthcare,Telehealth,624814,17.55,$100M-$500M,2556
ACC000005,Zenith Enterprises,,,USR007,Amanda Foster,SDR039,SDR Jordan,Nashville,TN,Retail,Grocery,445010,45.91,<$10M,58
ACC000006,Vertex Inc,,,USR002,Michael Rodriguez,SDR021,SDR Alex,Fort Worth,TX,Retail,Fashion,444456,9.47,$500M-$1B,9646
ACC000007,Stellar Industries,,,USR015,Stephanie Garcia,SDR016,SDR Taylor,Las Vegas,NV,Professional Services,Accounting,545304,51.62,$50M-$100M,719
ACC000008,Strategic Holdings,,,USR002,Michael Rodriguez,,,Phoenix,AZ,Real Estate,Property Management,537916,18.18,$50M-$100M,697
ACC000009,Quantum Holdings,,,USR001,Sarah Chen,SDR044,SDR Jordan,Seattle,WA,Energy,Grid Management,216573,20.82,<$10M,65
ACC000010,Quantum Holdings,,,USR017,Jennifer White,,,Minneapolis,MN,Financial Services,FinTech,529317,46.09,$50M-$100M,578
ACC000011,Global Ventures,,,USR001,Sarah Chen,SDR020,SDR Riley,San Diego,CA,Telecommunications,Internet Service,512290,49.54,<$10M,72
ACC000012,Strategic International,,,USR018,Ryan Clark,SDR014,SDR Jamie,Seattle,WA,Healthcare,Telehealth,624295,8.91,$50M-$100M,704
ACC000013,Phoenix Technologies,,,USR003,Emily Thompson,SDR038,SDR Morgan,San Diego,CA,Education,EdTech,611964,32.27,<$10M,14
ACC000014,Quantum International,,,USR018,Ryan Clark,SDR016,SDR Avery,Miami,FL,Telecommunications,Mobile Carriers,517669,27.18,<$10M,22
ACC000015,Titan Partners,,,USR002,Michael Rodriguez,SDR004,SDR Jordan,Fort Worth,TX,Education,Training & Certification,612790,14.05,<$10M,34
ACC000016,Dynamic Group,,,USR003,Emily Thompson,SDR004,SDR Jordan,Nashville,TN,Transportation,Public Transit,481241,35.32,$500M-$1B,6936
ACC000017,Summit Inc,,,USR002,Michael Rodriguez,SDR025,SDR Alex,Dallas,TX,Financial Services,FinTech,528454,17.07,<$10M,99
ACC000018,Stellar Enterprises,,,USR007,Amanda Foster,,,Denver,CO,Professional Services,HR Services,541998,34.18,$50M-$100M,529
ACC000019,Dynamic Solutions,,,USR003,Emily Thompson,,,Chicago,IL,Technology,DevOps,514853,20.21,$10M-$50M,391
ACC000020,Advanced Industries,,,USR019,Nicole Lewis,SDR014,SDR Casey,Detroit,MI,Manufacturing,Consumer Goods,314910,21.67,<$10M,26
ACC000021,Advanced Solutions,,,USR019,Nicole Lewis,,,Chicago,IL,Education,EdTech,619288,26.54,<$10M,54
ACC000022,Dynamic Partners,,,USR010,Christopher Lee,SDR043,SDR Alex,Raleigh,NC,Healthcare,Pharmaceuticals,622697,39.43,$500M-$1B,6100
ACC000023,Strategic Group,,,USR007,Amanda Foster,SDR044,SDR Morgan,Nashville,TN,Retail,E-commerce,449280,14.91,$10M-$50M,126
ACC000024,Premier Solutions,,,USR005,Jessica Martinez,SDR011,SDR Casey,Las Vegas,NV,Healthcare,Health Insurance,628007,30.19,$50M-$100M,557
ACC000025,Zenith Ventures,,,USR014,Kevin Martinez,SDR024,SDR Casey,Miami,FL,Healthcare,Pharmaceuticals,621653,22.25,$100M-$500M,1860
ACC000026,Zenith Services,,,USR014,Kevin Martinez,,,Las Vegas,NV,Education,K-12,614878,17.12,$100M-$500M,4998
ACC000027,Vertex Services,,,USR008,Robert Jackson,SDR025,SDR Jordan,Minneapolis,MN,Financial Services,FinTech,528711,40.75,<$10M,68
ACC000028,Apex Systems,,,USR007,Amanda Foster,SDR005,SDR Casey,Atlanta,GA,Telecommunications,Cable,519346,19.32,$10M-$50M,374
ACC000029,Quantum Enterprises,,,USR009,Lauren Davis,SDR023,SDR Jamie,Las Vegas,NV,Telecommunications,Mobile Carriers,518149,19.7,$50M-$100M,761
ACC000030,Summit Group,,,USR014,Kevin Martinez,SDR024,SDR Morgan,Columbus,OH,Healthcare,Health Insurance,626409,25.91,$50M-$100M,839
ACC000031,Titan Corp,,,USR010,Christopher Lee,SDR027,SDR Morgan,Detroit,MI,Healthcare,Medical Devices,623851,10.92,$50M-$100M,654
ACC000032,Nexus Group,,,USR019,Nicole Lewis,SDR030,SDR Riley,Charlotte,NC,Energy,Grid Management,214501,20.53,$10M-$50M,476
ACC000033,Vertex Technologies,,,USR008,Robert Jackson,SDR013,SDR Morgan,Phoenix,AZ,Financial Services,Banking,525011,34.21,>$1B,14772
ACC000034,Summit Consulting,,,USR016,Brian Moore,SDR042,SDR Taylor,Portland,OR,Media & Entertainment,Music,512746,4.0,$100M-$500M,1896
ACC000035,Apex Inc,,,USR005,Jessica Martinez,,,Detroit,MI,Financial Services,Payments,526198,15.03,$500M-$1B,8625
ACC000036,Phoenix Enterprises,,,USR016,Brian Moore,SDR041,SDR Morgan,Dallas,TX,Real Estate,Construction,539540,22.22,$10M-$50M,222
ACC000037,Nexus Systems,,,USR011,Michelle Taylor,,,Chicago,IL,Retail,Grocery,444788,29.65,$10M-$50M,178
ACC000038,Titan Corp,,,USR014,Kevin Martinez,SDR025,SDR Jamie,Atlanta,GA,Professional Services,Legal,541320,66.32,$100M-$500M,4135
ACC000039,Zenith Group,,,USR014,Kevin Martinez,SDR032,SDR Morgan,San Diego,CA,Real Estate,Property Management,538956,15.49,<$10M,53
ACC000040,Phoenix Enterprises,,,USR018,Ryan Clark,SDR038,SDR Jamie,Denver,CO,Education,Training & Certification,612375,7.17,$50M-$100M,569
ACC000041,Atlas Corp,,,USR011,Michelle Taylor,SDR018,SDR Jamie,Atlanta,GA,Media & Entertainment,Gaming,517906,8.38,<$10M,20
ACC000042,Premier Corp,,,USR003,Emily Thompson,SDR049,SDR Alex,New York,NY,Media & Entertainment,Streaming,514266,19.01,$100M-$500M,3544
ACC000043,Innovative Ventures,,,USR015,Stephanie Garcia,SDR011,SDR Riley,Boston,MA,Financial Services,Insurance,522876,66.38,$100M-$500M,1670
ACC000044,Nexus Ventures,,,USR013,Ashley Brown,SDR005,SDR Morgan,Denver,CO,Retail,E-commerce,444978,5.78,<$10M,48
ACC000045,Premier Corp,,,USR012,Daniel Anderson,SDR001,SDR Riley,Minneapolis,MN,Education,Tutoring,619031,23.19,<$10M,56
ACC000046,Titan Enterprises,,,USR009,Lauren Davis,SDR030,SDR Avery,Columbus,OH,Education,Training & Certification,615397,33.37,$10M-$50M,225
ACC000047,Apex Services,,,USR020,Matthew Walker,SDR002,SDR Riley,San Francisco,CA,Healthcare,Medical Devices,623979,16.33,$10M-$50M,281
ACC000048,Quantum Holdings,,,USR007,Amanda Foster,SDR032,SDR Jamie,Seattle,WA,Retail,Specialty Retail,448800,36.82,$50M-$100M,751
ACC000049,Apex Industries,,,USR010,Christopher Lee,SDR031,SDR Riley,Seattle,WA,Media & Entertainment,Streaming,517971,48.76,>$1B,46070
ACC000050,Quantum Group,,,USR004,James Wilson,SDR008,SDR Riley,Las Vegas,NV,Telecommunications,Cable,514033,9.66,<$10M,71
ACC000051,Nexus Technologies,,,USR010,Christopher Lee,SDR020,SDR Taylor,New York,NY,Retail,Fashion,443073,34.48,<$10M,16
ACC000052,Strategic International,,,USR016,Brian Moore,SDR037,SDR Alex,San Jose,CA,Transportation,Freight,488216,26.67,$10M-$50M,126
ACC000053,Advanced Industries,,,USR019,Nicole Lewis,SDR010,SDR Alex,Phoenix,AZ,Retail,Grocery,445978,21.53,<$10M,41
ACC000054,Apex Services,,,USR015,Stephanie Garcia,,,San Jose,CA,Healthcare,Telehealth,628025,17.61,$10M-$50M,417
ACC000055,Innovative Services,,,USR007,Amanda Foster,SDR011,SDR Jordan,San Diego,CA,Technology,DevOps,512229,52.36,<$10M,62
ACC000056,Premier Systems,,,USR010,Christopher Lee,SDR005,SDR Avery,Detroit,MI,Media & Entertainment,Film & TV,515334,9.31,$100M-$500M,3560
ACC000057,Apex International,,,USR009,Lauren Davis,,,Chicago,IL,Real Estate,Residential,536039,16.35,$50M-$100M,922
ACC000058,Phoenix Consulting,,,USR013,Ashley Brown,,,Indianapolis,IN,Real Estate,REITs,538172,34.58,<$10M,15
ACC000059,Global Technologies,,,USR019,Nicole Lewis,SDR049,SDR Alex,Detroit,MI,Energy,Utilities,211659,29.23,$100M-$500M,1717
